Provinsi,2018,2019,2020
ACEH,11.3,12.38,16.18
SUMATERA UTARA,8.42,7.68,10.43
SUMATERA BARAT,9.74,9.2,12.93
RIAU,8.57,8.29,11.87
JAMBI,7.43,8.57,11.25
SUMATERA SELATAN,8.33,9.22,12.98
BENGKULU,8.32,10.12,13.09
LAMPUNG,9.3,8.66,13.18
KEP. BANGKA BELITUNG,5.92,6.25,9.11
KEP. RIAU,3.81,2.84,5.75
DKI JAKARTA,1.99,1.89,6.43
JAWA BARAT,5.39,5.52,10.31
JAWA TENGAH,5.19,5.36,8.6
DI YOGYAKARTA,4.25,3.94,8.04
JAWA TIMUR,5.79,5.23,8.99
BANTEN,4.23,4.52,9.53
BALI,2.36,1.93,8.62
NUSA TENGGARA BARAT,16.82,13.97,16.83
NUSA TENGGARA TIMUR,12.25,11.79,15.1
KALIMANTAN BARAT,9.17,7.93,10.42
KALIMANTAN TENGAH,7.14,6.05,8.04
KALIMANTAN SELATAN,5.76,6.67,9.38
KALIMANTAN TIMUR,4.2,4.74,7.14
KALIMANTAN UTARA,7.68,6.44,8.33
SULAWESI UTARA,8.16,6.38,11.05
SULAWESI TENGAH,10.4,9.1,10.53
SULAWESI SELATAN,7.37,7.34,9.96
SULAWESI TENGGARA,11.18,8.46,10.49
GORONTALO,9.15,6.16,7.68
SULAWESI BARAT,8.36,9.91,11.98
MALUKU,9.27,10.76,14.2
MALUKU UTARA,7.64,8.15,10.78
PAPUA BARAT,8.57,8.9,13.18
PAPUA,7.51,7.03,11.26
INDONESIA,6.61,6.42,10.19
