Provinsi,2021,2022
ACEH,13.16,10.46
SUMATERA UTARA,9.67,6.83
SUMATERA BARAT,10.28,8.68
RIAU,9.95,7.42
JAMBI,9.75,7.46
SUMATERA SELATAN,10.93,7.08
BENGKULU,11.16,8.02
LAMPUNG,10.33,6.92
KEP. BANGKA BELITUNG,6.05,3.37
KEP. RIAU,6.17,4.95
DKI JAKARTA,6.76,2.71
JAWA BARAT,8.8,5.62
JAWA TENGAH,7.23,5.39
DI YOGYAKARTA,6.37,4.76
JAWA TIMUR,7.47,5.77
BANTEN,7.84,4.57
BALI,8.53,3.93
NUSA TENGGARA BARAT,15,13.3
NUSA TENGGARA TIMUR,14.19,12.5
KALIMANTAN BARAT,9.62,7.21
KALIMANTAN TENGAH,6.01,5.38
KALIMANTAN SELATAN,8.28,6.76
KALIMANTAN TIMUR,5.97,4.81
KALIMANTAN UTARA,7.16,6.19
SULAWESI UTARA,8.8,6.27
SULAWESI TENGAH,10.38,7.62
SULAWESI SELATAN,7.42,6.23
SULAWESI TENGGARA,10.45,8.14
GORONTALO,6.08,6.1
SULAWESI BARAT,10.65,13.04
MALUKU,12.75,11.8
MALUKU UTARA,9.76,9.28
PAPUA BARAT,12.06,12.29
PAPUA,8.72,5.85
INDONESIA,8.71,6.32
